"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Variation %"
"30/12/2022","4,0004","3,9463","4,0266","3,9428","1,42%"
"29/12/2022","3,9445","3,9710","3,9830","3,9340","-0,72%"
"28/12/2022","3,9732","3,9450","3,9870","3,9110","0,72%"
"27/12/2022","3,9449","3,8590","3,9680","3,8480","2,28%"
"26/12/2022","3,8569","3,8622","3,8622","3,8569","-0,14%"
"23/12/2022","3,8622","3,8030","3,8750","3,7960","1,47%"
"22/12/2022","3,8063","3,7730","3,8100","3,7310","0,74%"
"21/12/2022","3,7784","3,7980","3,8130","3,7110","-0,41%"
"20/12/2022","3,7941","3,7190","3,8200","3,7040","2,01%"
"19/12/2022","3,7194","3,6540","3,7280","3,6260","1,75%"
"18/12/2022","3,6553","3,6450","3,6553","3,6450","0,91%"
"16/12/2022","3,6225","3,6320","3,7200","3,5980","0,04%"
"15/12/2022","3,6212","3,6330","3,6730","3,5970","0,14%"
"14/12/2022","3,6162","3,6470","3,7160","3,5970","-0,81%"
"13/12/2022","3,6456","3,7840","3,7930","3,5560","-3,84%"
"12/12/2022","3,7911","3,7830","3,8170","3,7170","0,23%"
"11/12/2022","3,7825","3,7808","3,7825","3,7808","0,28%"
"09/12/2022","3,7721","3,7100","3,7790","3,6600","1,62%"
"08/12/2022","3,7118","3,6380","3,7260","3,6360","2,32%"
"07/12/2022","3,6275","3,7590","3,7690","3,6070","-3,27%"
"06/12/2022","3,7500","3,7880","3,8090","3,7240","-1,01%"
"05/12/2022","3,7881","3,6880","3,8090","3,6860","2,71%"
"04/12/2022","3,6881","3,6915","3,6915","3,6881","0,80%"
"02/12/2022","3,6588","3,6710","3,8210","3,6350","-0,20%"
"01/12/2022","3,6661","3,7490","3,7920","3,6590","-2,29%"
"30/11/2022","3,7522","3,9240","3,9990","3,7380","-4,41%"
"29/11/2022","3,9254","3,8850","3,9410","3,8350","1,35%"
"28/11/2022","3,8733","3,8700","3,9030","3,8140","0,05%"
"27/11/2022","3,8715","3,8750","3,8750","3,8715","0,04%"
"25/11/2022","3,8698","3,8400","3,9510","3,8300","0,72%"
"24/11/2022","3,8421","3,8386","3,8421","3,8386","-0,89%"
"23/11/2022","3,8767","3,9460","4,0020","3,8750","-1,81%"
"22/11/2022","3,9480","3,9880","3,9880","3,9290","-1,89%"
"21/11/2022","4,0242","3,9980","4,0300","3,9440","0,70%"
"20/11/2022","3,9962","3,9980","3,9980","3,9962","-0,31%"
"18/11/2022","4,0085","3,9540","4,0120","3,9140","1,81%"
"17/11/2022","3,9371","3,8540","3,9630","3,8330","2,16%"
"16/11/2022","3,8537","3,8960","3,9670","3,8260","-1,21%"
"15/11/2022","3,9008","4,0020","4,0110","3,8640","-2,36%"
"14/11/2022","3,9950","4,0140","4,0370","3,9760","-0,52%"
"13/11/2022","4,0160","4,0178","4,0178","4,0160","2,04%"
"10/11/2022","3,9358","4,2340","4,2840","3,9310","-7,27%"
"09/11/2022","4,2444","4,3030","4,3420","4,2270","-1,23%"
"08/11/2022","4,2973","4,3980","4,4210","4,2960","-2,22%"
"07/11/2022","4,3947","4,3400","4,4020","4,3200","1,23%"
"06/11/2022","4,3414","4,3344","4,3414","4,3344","0,24%"
"04/11/2022","4,3308","4,3820","4,4550","4,2940","-0,81%"
"03/11/2022","4,3660","4,3170","4,4390","4,2920","1,44%"
"02/11/2022","4,3040","4,2640","4,3230","4,1460","0,74%"
"01/11/2022","4,2722","4,2370","4,2760","4,1020","1,00%"
"31/10/2022","4,2300","4,2000","4,2850","4,2000","0,67%"
"30/10/2022","4,2019","4,2002","4,2037","4,2002","0,50%"
"28/10/2022","4,1809","4,0660","4,2140","4,0470","2,83%"
"27/10/2022","4,0658","4,1910","4,2630","4,0430","-2,92%"
"26/10/2022","4,1882","4,2520","4,2790","4,1650","-1,67%"
"25/10/2022","4,2592","4,3430","4,3500","4,1950","-2,45%"
"24/10/2022","4,3662","4,3270","4,4020","4,2410","0,87%"
"23/10/2022","4,3286","4,3215","4,3286","4,3215","-0,45%"
"21/10/2022","4,3483","4,4370","4,5060","4,3050","-2,24%"
"20/10/2022","4,4481","4,3640","4,4610","4,3250","2,05%"
"19/10/2022","4,3586","4,2230","4,3640","4,2200","3,24%"
"18/10/2022","4,2217","4,2200","4,2690","4,1720","-0,25%"
"17/10/2022","4,2323","4,2500","4,2590","4,1390","-0,37%"
"16/10/2022","4,2482","4,2446","4,2482","4,2446","-0,50%"
"14/10/2022","4,2694","4,2290","4,2930","4,1070","1,47%"
"13/10/2022","4,2074","4,1250","4,3440","4,0580","2,09%"
"12/10/2022","4,1212","4,1760","4,1930","4,0900","-1,22%"
"11/10/2022","4,1722","4,1740","4,2340","4,0930","-0,04%"
"10/10/2022","4,1739","4,1704","4,1739","4,1704","0,59%"
"07/10/2022","4,1493","4,0710","4,1740","4,0640","1,89%"
"06/10/2022","4,0724","3,9590","4,0760","3,9380","2,72%"
"05/10/2022","3,9645","3,8420","4,0040","3,8250","2,87%"
"04/10/2022","3,8539","3,8450","3,8830","3,7680","-0,71%"
"03/10/2022","3,8816","4,0660","4,0740","3,7870","-4,57%"
"02/10/2022","4,0673","4,0673","4,0673","4,0673","-0,47%"
"30/09/2022","4,0865","4,0210","4,0970","3,9250","1,73%"
"29/09/2022","4,0171","3,9770","4,0990","3,9570","1,67%"
"28/09/2022","3,9513","4,1840","4,2510","3,9100","-5,82%"
"27/09/2022","4,1955","4,1820","4,2390","4,0450","-0,07%"
"26/09/2022","4,1986","4,0350","4,2000","4,0130","4,01%"
"25/09/2022","4,0366","4,0131","4,0366","4,0131","1,50%"
"23/09/2022","3,9771","3,9380","4,0840","3,9050","1,22%"
"22/09/2022","3,9291","3,7890","3,9420","3,7750","4,28%"
"21/09/2022","3,7680","3,7390","3,8610","3,6950","0,43%"
"20/09/2022","3,7517","3,6880","3,7770","3,6700","1,69%"
"19/09/2022","3,6894","3,6260","3,7140","3,6260","1,46%"
"18/09/2022","3,6362","3,6362","3,6362","3,6362","0,00%"
"16/09/2022","3,6362","3,6650","3,7050","3,6130","-0,70%"
"15/09/2022","3,6618","3,6070","3,6900","3,5960","1,72%"
"14/09/2022","3,6000","3,5960","3,6580","3,5630","0,64%"
"13/09/2022","3,5770","3,4350","3,6210","3,3830","3,60%"
"12/09/2022","3,4528","3,4370","3,4740","3,3830","0,46%"
"11/09/2022","3,4370","3,4387","3,4387","3,4370","0,00%"
"09/09/2022","3,4370","3,4260","3,4530","3,3490","0,27%"
"08/09/2022","3,4278","3,3650","3,4310","3,2890","2,01%"
"07/09/2022","3,3602","3,4540","3,4710","3,3530","-2,70%"
"06/09/2022","3,4536","3,3340","3,4620","3,3200","3,53%"
"05/09/2022","3,3358","3,3375","3,3375","3,3324","1,15%"
"02/09/2022","3,2979","3,4080","3,4130","3,2690","-3,13%"
"01/09/2022","3,4044","3,3540","3,4420","3,3230","1,55%"
"31/08/2022","3,3526","3,2670","3,3580","3,2510","2,47%"
"30/08/2022","3,2718","3,2480","3,3130","3,2030","0,32%"
"29/08/2022","3,2615","3,2460","3,3010","3,2410","0,53%"
"28/08/2022","3,2444","3,2461","3,2461","3,2427","1,66%"
"26/08/2022","3,1914","3,1620","3,2290","3,1370","1,03%"
"25/08/2022","3,1590","3,2070","3,2240","3,1510","-2,40%"
"24/08/2022","3,2366","3,1750","3,2580","3,1340","1,82%"
"23/08/2022","3,1788","3,1630","3,2070","3,0970","0,45%"
"22/08/2022","3,1646","3,1140","3,1840","3,0710","1,57%"
"21/08/2022","3,1158","3,1106","3,1158","3,1106","0,62%"
"19/08/2022","3,0967","3,0200","3,1280","3,0200","2,12%"
"18/08/2022","3,0323","3,0480","3,0820","2,9770","-0,67%"
"17/08/2022","3,0529","2,9700","3,0840","2,9560","3,09%"
"16/08/2022","2,9615","2,8930","2,9840","2,8840","1,89%"
"15/08/2022","2,9066","2,9680","2,9920","2,8780","-2,13%"
"14/08/2022","2,9699","2,9682","2,9699","2,9682","0,18%"
"12/08/2022","2,9647","2,9880","3,0070","2,9320","-0,91%"
"11/08/2022","2,9919","2,9280","3,0040","2,8520","2,23%"
"10/08/2022","2,9267","2,9680","3,0450","2,7940","-1,15%"
"09/08/2022","2,9608","2,9040","2,9870","2,8960","1,88%"
"08/08/2022","2,9061","2,9670","2,9900","2,8920","-2,07%"
"07/08/2022","2,9675","2,9726","2,9726","2,9675","0,35%"
"05/08/2022","2,9572","2,7790","2,9900","2,7750","5,72%"
"04/08/2022","2,7972","2,8430","2,8720","2,7530","-1,14%"
"03/08/2022","2,8294","2,8560","2,9740","2,8020","-1,01%"
"02/08/2022","2,8582","2,6290","2,8730","2,5790","7,69%"
"01/08/2022","2,6542","2,7030","2,7210","2,6370","-1,80%"
"31/07/2022","2,7029","2,6962","2,7029","2,6962","0,81%"
"29/07/2022","2,6811","2,7030","2,7670","2,6580","-0,62%"
"28/07/2022","2,6979","2,8190","2,8840","2,6530","-4,87%"
"27/07/2022","2,8361","2,8940","2,9160","2,7920","-2,21%"
"26/07/2022","2,9002","2,8870","2,9070","2,7970","0,41%"
"25/07/2022","2,8885","2,8870","2,9190","2,8600","0,23%"
"24/07/2022","2,8819","2,8853","2,8853","2,8819","1,19%"
"22/07/2022","2,8481","2,9890","3,0180","2,8090","-4,73%"
"21/07/2022","2,9894","3,1620","3,2120","2,9740","-5,61%"
"20/07/2022","3,1672","3,1600","3,1810","3,0700","0,22%"
"19/07/2022","3,1603","3,0990","3,1620","3,0660","1,82%"
"18/07/2022","3,1039","3,0440","3,1310","3,0290","1,84%"
"17/07/2022","3,0477","3,0477","3,0477","3,0477","0,00%"
"15/07/2022","3,0477","3,0620","3,0900","2,9950","-0,51%"
"14/07/2022","3,0634","3,0430","3,1550","3,0130","1,18%"
"13/07/2022","3,0278","3,0110","3,1540","2,9670","0,27%"
"12/07/2022","3,0195","3,0470","3,0520","2,9530","-1,11%"
"11/07/2022","3,0535","3,1420","3,1490","3,0110","-2,87%"
"10/07/2022","3,1438","3,1472","3,1472","3,1438","0,71%"
"08/07/2022","3,1217","3,0370","3,1590","3,0000","2,73%"
"07/07/2022","3,0387","2,9800","3,0680","2,9380","1,98%"
"06/07/2022","2,9797","2,8350","2,9830","2,7350","5,53%"
"05/07/2022","2,8236","2,9140","2,9730","2,7720","-3,17%"
"04/07/2022","2,9160","2,9144","2,9160","2,9144","1,10%"
"01/07/2022","2,8842","3,0530","3,0560","2,7800","-5,22%"
"30/06/2022","3,0429","3,1330","3,1600","3,0030","-3,08%"
"29/06/2022","3,1395","3,2360","3,2480","3,1390","-2,94%"
"28/06/2022","3,2347","3,2590","3,3130","3,2240","-0,77%"
"27/06/2022","3,2598","3,1860","3,2910","3,1700","2,33%"
"26/06/2022","3,1857","3,1892","3,1892","3,1857","-0,06%"
"24/06/2022","3,1875","3,1360","3,1980","3,0810","1,47%"
"23/06/2022","3,1412","3,2230","3,2510","3,0370","-2,86%"
