,0
2004-01-01,7000.5
2004-02-01,7034.7
2004-03-01,7099.0
2004-04-01,7100.7
2004-05-01,7154.6
2004-06-01,7128.7
2004-07-01,7209.4
2004-08-01,7241.7
2004-09-01,7297.3
2004-10-01,7331.3
2004-11-01,7361.9
2004-12-01,7422.5
2005-01-01,7421.9
2005-02-01,7479.4
2005-03-01,7498.8
2005-04-01,7569.3
2005-05-01,7569.5
2005-06-01,7646.5
2005-07-01,7716.0
2005-08-01,7678.4
2005-09-01,7675.0
2005-10-01,7713.1
2005-11-01,7763.7
2005-12-01,7794.8
2006-01-01,7899.5
2006-02-01,7895.1
2006-03-01,7937.5
2006-04-01,7977.5
2006-05-01,7998.5
2006-06-01,8032.1
2006-07-01,8065.9
2006-08-01,8072.2
2006-09-01,8144.1
2006-10-01,8180.6
2006-11-01,8203.9
2006-12-01,8272.5
2007-01-01,8306.6
2007-02-01,8309.4
2007-03-01,8357.7
2007-04-01,8354.4
2007-05-01,8407.1
2007-06-01,8416.5
2007-07-01,8451.2
2007-08-01,8503.1
2007-09-01,8534.3
2007-10-01,8583.2
2007-11-01,8605.2
2007-12-01,8613.9
2008-01-01,8640.5
2008-02-01,8620.0
2008-03-01,8647.3
2008-04-01,8683.5
2008-05-01,8723.3
2008-06-01,8730.7
2008-07-01,8717.0
2008-08-01,8735.6
2008-09-01,8689.4
2008-10-01,8637.7
2008-11-01,8596.1
2008-12-01,8574.6
2009-01-01,8602.3
2009-02-01,8583.3
2009-03-01,8533.1
2009-04-01,8542.4
2009-05-01,8557.2
2009-06-01,8573.4
2009-07-01,8617.6
2009-08-01,8708.4
2009-09-01,8628.9
2009-10-01,8659.0
2009-11-01,8679.2
2009-12-01,8707.9
2010-01-01,8716.1
2010-02-01,8750.8
2010-03-01,8837.1
2010-04-01,8863.1
2010-05-01,8883.7
2010-06-01,8909.0
2010-07-01,8936.5
2010-08-01,8967.2
2010-09-01,8983.5
2010-10-01,9029.2
2010-11-01,9054.0
2010-12-01,9053.1
2011-01-01,9103.6
2011-02-01,9136.1
2011-03-01,9181.7
2011-04-01,9195.7
2011-05-01,9212.7
2011-06-01,9236.3
2011-07-01,9258.0
2011-08-01,9283.1
2011-09-01,9312.4
2011-10-01,9329.9
2011-11-01,9341.2
2011-12-01,9369.2
2012-01-01,9450.7
2012-02-01,9514.0
2012-03-01,9533.2
2012-04-01,9532.3
2012-05-01,9530.0
2012-06-01,9534.4
2012-07-01,9554.9
2012-08-01,9568.2
2012-09-01,9611.0
2012-10-01,9622.8
2012-11-01,9688.9
2012-12-01,9719.0
2013-01-01,9755.6
2013-02-01,9755.0
2013-03-01,9750.0
2013-04-01,9773.6
2013-05-01,9810.1
2013-06-01,9829.9
2013-07-01,9857.7
2013-08-01,9882.5
2013-09-01,9914.0
2013-10-01,9966.8
2013-11-01,10011.8
2013-12-01,10030.2
2014-01-01,9992.2
2014-02-01,10063.8
2014-03-01,10154.3
2014-04-01,10189.2
2014-05-01,10242.0
2014-06-01,10302.0
2014-07-01,10349.5
2014-08-01,10420.6
2014-09-01,10441.1
2014-10-01,10507.8
2014-11-01,10534.8
2014-12-01,10586.7
2015-01-01,10590.2
2015-02-01,10602.9
2015-03-01,10666.5
2015-04-01,10720.8
2015-05-01,10767.4
2015-06-01,10790.3
2015-07-01,10845.5
2015-08-01,10884.1
2015-09-01,10904.1
2015-10-01,10928.8
2015-11-01,10969.4
2015-12-01,11019.2
2016-01-01,11038.5
2016-02-01,11130.0
2016-03-01,11113.0
2016-04-01,11160.4
2016-05-01,11186.4
2016-06-01,11243.5
2016-07-01,11278.0
2016-08-01,11303.8
2016-09-01,11357.7
2016-10-01,11378.7
2016-11-01,11407.1
2016-12-01,11476.7
2017-01-01,11554.7
2017-02-01,11572.6
2017-03-01,11597.0
2017-04-01,11617.5
2017-05-01,11629.1
2017-06-01,11681.0
2017-07-01,11715.3
2017-08-01,11739.4
2017-09-01,11808.6
2017-10-01,11850.1
2017-11-01,11930.5
2017-12-01,12017.9
2018-01-01,12040.7
2018-02-01,12112.1
2018-03-01,12146.2
2018-04-01,12199.0
2018-05-01,12272.8
2018-06-01,12309.0
2018-07-01,12363.8
2018-08-01,12404.0
2018-09-01,12412.1
2018-10-01,12471.4
2018-11-01,12530.7
2018-12-01,12468.2
2019-01-01,12511.7
2019-02-01,12541.4
2019-03-01,12624.7
2019-04-01,12652.4
2019-05-01,12713.3
2019-06-01,12778.4
2019-07-01,12825.9
2019-08-01,12872.8
2019-09-01,12905.6
2019-10-01,12932.2
2019-11-01,12984.3
2019-12-01,13073.6
2020-01-01,13141.3
2020-02-01,13185.9
2020-03-01,12056.4
2020-04-01,10563.9
2020-05-01,11556.8
2020-06-01,12330.8
2020-07-01,12591.2
2020-08-01,12746.1
2020-09-01,12952.0
2020-10-01,13007.9
2020-11-01,12951.7
2020-12-01,12934.2
2021-01-01,13241.3
2021-02-01,13128.0
2021-03-01,13820.1
2021-04-01,13929.1
2021-05-01,13977.6
2021-06-01,14125.3
2021-07-01,14194.5
2021-08-01,14277.4
2021-09-01,14381.0
2021-10-01,14562.6
2021-11-01,14613.6
2021-12-01,14581.1
2022-01-01,14753.0
2022-02-01,14861.7
2022-03-01,14976.0
2022-04-01,15059.0
2022-05-01,15141.5
2022-06-01,15274.0
2022-07-01,15311.6
2022-08-01,15468.1
2022-09-01,15578.5
2022-10-01,15700.1
2022-11-01,15726.4
