,0
2004-01-01,138472.0
2004-02-01,138542.0
2004-03-01,138453.0
2004-04-01,138680.0
2004-05-01,138852.0
2004-06-01,139174.0
2004-07-01,139556.0
2004-08-01,139573.0
2004-09-01,139487.0
2004-10-01,139732.0
2004-11-01,140231.0
2004-12-01,140125.0
2005-01-01,140245.0
2005-02-01,140385.0
2005-03-01,140654.0
2005-04-01,141254.0
2005-05-01,141609.0
2005-06-01,141714.0
2005-07-01,142026.0
2005-08-01,142434.0
2005-09-01,142401.0
2005-10-01,142548.0
2005-11-01,142499.0
2005-12-01,142752.0
2006-01-01,143150.0
2006-02-01,143457.0
2006-03-01,143741.0
2006-04-01,143761.0
2006-05-01,144089.0
2006-06-01,144353.0
2006-07-01,144202.0
2006-08-01,144625.0
2006-09-01,144815.0
2006-10-01,145314.0
2006-11-01,145534.0
2006-12-01,145970.0
2007-01-01,146028.0
2007-02-01,146057.0
2007-03-01,146320.0
2007-04-01,145586.0
2007-05-01,145903.0
2007-06-01,146063.0
2007-07-01,145905.0
2007-08-01,145682.0
2007-09-01,146244.0
2007-10-01,145946.0
2007-11-01,146595.0
2007-12-01,146273.0
2008-01-01,146378.0
2008-02-01,146156.0
2008-03-01,146086.0
2008-04-01,146132.0
2008-05-01,145908.0
2008-06-01,145737.0
2008-07-01,145532.0
2008-08-01,145203.0
2008-09-01,145076.0
2008-10-01,144802.0
2008-11-01,144100.0
2008-12-01,143369.0
2009-01-01,142152.0
2009-02-01,141640.0
2009-03-01,140707.0
2009-04-01,140656.0
2009-05-01,140248.0
2009-06-01,140009.0
2009-07-01,139901.0
2009-08-01,139492.0
2009-09-01,138818.0
2009-10-01,138432.0
2009-11-01,138659.0
2009-12-01,138013.0
2010-01-01,138438.0
2010-02-01,138581.0
2010-03-01,138751.0
2010-04-01,139297.0
2010-05-01,139241.0
2010-06-01,139141.0
2010-07-01,139179.0
2010-08-01,139438.0
2010-09-01,139396.0
2010-10-01,139119.0
2010-11-01,139044.0
2010-12-01,139301.0
2011-01-01,139250.0
2011-02-01,139394.0
2011-03-01,139639.0
2011-04-01,139586.0
2011-05-01,139624.0
2011-06-01,139384.0
2011-07-01,139524.0
2011-08-01,139942.0
2011-09-01,140183.0
2011-10-01,140368.0
2011-11-01,140826.0
2011-12-01,140902.0
2012-01-01,141584.0
2012-02-01,141858.0
2012-03-01,142036.0
2012-04-01,141899.0
2012-05-01,142206.0
2012-06-01,142391.0
2012-07-01,142292.0
2012-08-01,142291.0
2012-09-01,143044.0
2012-10-01,143431.0
2012-11-01,143333.0
2012-12-01,143330.0
2013-01-01,143292.0
2013-02-01,143362.0
2013-03-01,143316.0
2013-04-01,143635.0
2013-05-01,143882.0
2013-06-01,143999.0
2013-07-01,144264.0
2013-08-01,144326.0
2013-09-01,144418.0
2013-10-01,143537.0
2013-11-01,144479.0
2013-12-01,144778.0
2014-01-01,145150.0
2014-02-01,145134.0
2014-03-01,145648.0
2014-04-01,145667.0
2014-05-01,145825.0
2014-06-01,146247.0
2014-07-01,146399.0
2014-08-01,146530.0
2014-09-01,146778.0
2014-10-01,147427.0
2014-11-01,147404.0
2014-12-01,147615.0
2015-01-01,148145.0
2015-02-01,148045.0
2015-03-01,148128.0
2015-04-01,148511.0
2015-05-01,148817.0
2015-06-01,148816.0
2015-07-01,148830.0
2015-08-01,149181.0
2015-09-01,148826.0
2015-10-01,149246.0
2015-11-01,149463.0
2015-12-01,150128.0
2016-01-01,150653.0
2016-02-01,150939.0
2016-03-01,151218.0
2016-04-01,151074.0
2016-05-01,151132.0
2016-06-01,151223.0
2016-07-01,151554.0
2016-08-01,151779.0
2016-09-01,151761.0
2016-10-01,151793.0
2016-11-01,151954.0
2016-12-01,152157.0
2017-01-01,152152.0
2017-02-01,152480.0
2017-03-01,153065.0
2017-04-01,153255.0
2017-05-01,153069.0
2017-06-01,153318.0
2017-07-01,153569.0
2017-08-01,153503.0
2017-09-01,154286.0
2017-10-01,153609.0
2017-11-01,153805.0
2017-12-01,153904.0
2018-01-01,154425.0
2018-02-01,155197.0
2018-03-01,155214.0
2018-04-01,155312.0
2018-05-01,155652.0
2018-06-01,155762.0
2018-07-01,156146.0
2018-08-01,155504.0
2018-09-01,156015.0
2018-10-01,156391.0
2018-11-01,156721.0
2018-12-01,156817.0
2019-01-01,156529.0
2019-02-01,156908.0
2019-03-01,156755.0
2019-04-01,156683.0
2019-05-01,156814.0
2019-06-01,157164.0
2019-07-01,157525.0
2019-08-01,157782.0
2019-09-01,158302.0
2019-10-01,158474.0
2019-11-01,158642.0
2019-12-01,158834.0
2020-01-01,158543.0
2020-02-01,158749.0
2020-03-01,155451.0
2020-04-01,133258.0
2020-05-01,137128.0
2020-06-01,142276.0
2020-07-01,143779.0
2020-08-01,147201.0
2020-09-01,147625.0
2020-10-01,149854.0
2020-11-01,149928.0
2020-12-01,149961.0
2021-01-01,149871.0
2021-02-01,150205.0
2021-03-01,150751.0
2021-04-01,151171.0
2021-05-01,151482.0
2021-06-01,151684.0
2021-07-01,152782.0
2021-08-01,153211.0
2021-09-01,153867.0
2021-10-01,154395.0
2021-11-01,155535.0
2021-12-01,156081.0
2022-01-01,157122.0
2022-02-01,157590.0
2022-03-01,158328.0
2022-04-01,157982.0
2022-05-01,158299.0
2022-06-01,158057.0
2022-07-01,158272.0
2022-08-01,158694.0
2022-09-01,158850.0
2022-10-01,158593.0
2022-11-01,158527.0
2022-12-01,159244.0
