,0
2004-01-01,130765.0
2004-02-01,130822.0
2004-03-01,131139.0
2004-04-01,131410.0
2004-05-01,131694.0
2004-06-01,131789.0
2004-07-01,131849.0
2004-08-01,131936.0
2004-09-01,132082.0
2004-10-01,132433.0
2004-11-01,132509.0
2004-12-01,132633.0
2005-01-01,132778.0
2005-02-01,133033.0
2005-03-01,133153.0
2005-04-01,133516.0
2005-05-01,133687.0
2005-06-01,133940.0
2005-07-01,134297.0
2005-08-01,134495.0
2005-09-01,134551.0
2005-10-01,134644.0
2005-11-01,135001.0
2005-12-01,135161.0
2006-01-01,135425.0
2006-02-01,135731.0
2006-03-01,136040.0
2006-04-01,136211.0
2006-05-01,136247.0
2006-06-01,136328.0
2006-07-01,136522.0
2006-08-01,136688.0
2006-09-01,136824.0
2006-10-01,136848.0
2006-11-01,137069.0
2006-12-01,137253.0
2007-01-01,137476.0
2007-02-01,137554.0
2007-03-01,137781.0
2007-04-01,137843.0
2007-05-01,137993.0
2007-06-01,138072.0
2007-07-01,138042.0
2007-08-01,138017.0
2007-09-01,138103.0
2007-10-01,138174.0
2007-11-01,138292.0
2007-12-01,138398.0
2008-01-01,138399.0
2008-02-01,138323.0
2008-03-01,138255.0
2008-04-01,138038.0
2008-05-01,137847.0
2008-06-01,137689.0
2008-07-01,137492.0
2008-08-01,137209.0
2008-09-01,136758.0
2008-10-01,136294.0
2008-11-01,135546.0
2008-12-01,134849.0
2009-01-01,134069.0
2009-02-01,133311.0
2009-03-01,132493.0
2009-04-01,131825.0
2009-05-01,131470.0
2009-06-01,131002.0
2009-07-01,130661.0
2009-08-01,130480.0
2009-09-01,130240.0
2009-10-01,130062.0
2009-11-01,130059.0
2009-12-01,129808.0
2010-01-01,129798.0
2010-02-01,129700.0
2010-03-01,129864.0
2010-04-01,130115.0
2010-05-01,130645.0
2010-06-01,130501.0
2010-07-01,130420.0
2010-08-01,130424.0
2010-09-01,130339.0
2010-10-01,130620.0
2010-11-01,130754.0
2010-12-01,130835.0
2011-01-01,130842.0
2011-02-01,131052.0
2011-03-01,131277.0
2011-04-01,131604.0
2011-05-01,131704.0
2011-06-01,131936.0
2011-07-01,131991.0
2011-08-01,132124.0
2011-09-01,132345.0
2011-10-01,132557.0
2011-11-01,132701.0
2011-12-01,132901.0
2012-01-01,133246.0
2012-02-01,133518.0
2012-03-01,133744.0
2012-04-01,133827.0
2012-05-01,133935.0
2012-06-01,134007.0
2012-07-01,134153.0
2012-08-01,134330.0
2012-09-01,134512.0
2012-10-01,134671.0
2012-11-01,134834.0
2012-12-01,135075.0
2013-01-01,135265.0
2013-02-01,135544.0
2013-03-01,135689.0
2013-04-01,135876.0
2013-05-01,136091.0
2013-06-01,136269.0
2013-07-01,136391.0
2013-08-01,136635.0
2013-09-01,136819.0
2013-10-01,137039.0
2013-11-01,137314.0
2013-12-01,137368.0
2014-01-01,137552.0
2014-02-01,137707.0
2014-03-01,137986.0
2014-04-01,138298.0
2014-05-01,138501.0
2014-06-01,138833.0
2014-07-01,139076.0
2014-08-01,139258.0
2014-09-01,139563.0
2014-10-01,139805.0
2014-11-01,140089.0
2014-12-01,140366.0
2015-01-01,140562.0
2015-02-01,140829.0
2015-03-01,140924.0
2015-04-01,141202.0
2015-05-01,141540.0
2015-06-01,141695.0
2015-07-01,141989.0
2015-08-01,142130.0
2015-09-01,142265.0
2015-10-01,142585.0
2015-11-01,142810.0
2015-12-01,143083.0
2016-01-01,143198.0
2016-02-01,143410.0
2016-03-01,143666.0
2016-04-01,143856.0
2016-05-01,143901.0
2016-06-01,144152.0
2016-07-01,144515.0
2016-08-01,144664.0
2016-09-01,144961.0
2016-10-01,145069.0
2016-11-01,145189.0
2016-12-01,145408.0
2017-01-01,145639.0
2017-02-01,145845.0
2017-03-01,145975.0
2017-04-01,146172.0
2017-05-01,146389.0
2017-06-01,146588.0
2017-07-01,146772.0
2017-08-01,146907.0
2017-09-01,146999.0
2017-10-01,147147.0
2017-11-01,147377.0
2017-12-01,147521.0
2018-01-01,147670.0
2018-02-01,148058.0
2018-03-01,148281.0
2018-04-01,148426.0
2018-05-01,148755.0
2018-06-01,148966.0
2018-07-01,149022.0
2018-08-01,149272.0
2018-09-01,149361.0
2018-10-01,149526.0
2018-11-01,149622.0
2018-12-01,149805.0
2019-01-01,150114.0
2019-02-01,150092.0
2019-03-01,150320.0
2019-04-01,150563.0
2019-05-01,150630.0
2019-06-01,150797.0
2019-07-01,150879.0
2019-08-01,151111.0
2019-09-01,151318.0
2019-10-01,151447.0
2019-11-01,151662.0
2019-12-01,151764.0
2020-01-01,152098.0
2020-02-01,152371.0
2020-03-01,150944.0
2020-04-01,130430.0
2020-05-01,133055.0
2020-06-01,137620.0
2020-07-01,139064.0
2020-08-01,140799.0
2020-09-01,141760.0
2020-10-01,142479.0
2020-11-01,142743.0
2020-12-01,142475.0
2021-01-01,142969.0
2021-02-01,143544.0
2021-03-01,144328.0
2021-04-01,144614.0
2021-05-01,145096.0
2021-06-01,145789.0
2021-07-01,146558.0
2021-08-01,147221.0
2021-09-01,147778.0
2021-10-01,148559.0
2021-11-01,149173.0
2021-12-01,149742.0
2022-01-01,150106.0
2022-02-01,151010.0
2022-03-01,151424.0
2022-04-01,151678.0
2022-05-01,152042.0
2022-06-01,152412.0
2022-07-01,152980.0
2022-08-01,153332.0
2022-09-01,153682.0
2022-10-01,154006.0
2022-11-01,154296.0
2022-12-01,154556.0
2023-01-01,155073.0
